Date,Ticker,drawdown_90d,fgi
2022-04-24,BTC,-0.1683293699983979,24.0
2022-04-25,BTC,-0.14775481292215842,23.0
2022-04-26,BTC,-0.19652554664507915,27.0
2022-04-27,BTC,-0.1728494691660975,21.0
2022-04-28,BTC,-0.16217481680116713,24.0
2022-04-29,BTC,-0.1863334513901187,23.0
2022-04-30,BTC,-0.2066837005742619,20.0
2022-05-01,BTC,-0.18902683262077638,22.0
2022-05-02,BTC,-0.18782918869690604,28.0
2022-05-03,BTC,-0.20461454459595077,27.0
2022-05-04,BTC,-0.1632725340888968,21.0
2022-05-05,BTC,-0.2294060478804591,27.0
2022-05-06,BTC,-0.24077322978066748,22.0
2022-05-07,BTC,-0.2521863695008728,23.0
2022-05-08,BTC,-0.2824171283530235,18.0
2022-05-09,BTC,-0.3659442013036842,11.0
2022-05-10,BTC,-0.3461108721866647,10.0
2022-05-11,BTC,-0.3864432863635981,12.0
2022-05-12,BTC,-0.388007327953317,12.0
2022-05-13,BTC,-0.382583040299527,10.0
2022-05-14,BTC,-0.3657243205410374,9.0
2022-05-15,BTC,-0.3395378498486344,10.0
2022-05-16,BTC,-0.370209002673143,14.0
2022-05-17,BTC,-0.3581731134104076,8.0
2022-05-18,BTC,-0.3946360056329952,12.0
2022-05-19,BTC,-0.36082306660932484,13.0
2022-05-20,BTC,-0.38439689847959735,13.0
2022-05-21,BTC,-0.37925194161248704,13.0
2022-05-22,BTC,-0.3613562194844292,14.0
2022-05-23,BTC,-0.38633345139011865,10.0
2022-05-24,BTC,-0.37483493131624884,12.0
2022-05-25,BTC,-0.37720513209711015,11.0
2022-05-26,BTC,-0.38438973074620325,12.0
2022-05-27,BTC,-0.39643890139728644,12.0
2022-05-28,BTC,-0.38797401907460344,13.0
2022-05-29,BTC,-0.3787662222671963,14.0
2022-05-30,BTC,-0.33099285756448854,10.0
2022-05-31,BTC,-0.32958418713687,16.0
2022-06-01,BTC,-0.37164634403433766,17.0
